FIPS_Code,State,Area_Name,Median_Household_Income_2022
00000,US,United States,74755
01000,AL,Alabama,59703
01001,AL,"Autauga County, AL",70148
01003,AL,"Baldwin County, AL",71704
01005,AL,"Barbour County, AL",41151
01007,AL,"Bibb County, AL",54309
01009,AL,"Blount County, AL",60553
01011,AL,"Bullock County, AL",35798
01013,AL,"Butler County, AL",41852
01015,AL,"Calhoun County, AL",52772
01017,AL,"Chambers County, AL",45563
01019,AL,"Cherokee County, AL",52613
01021,AL,"Chilton County, AL",61823
01023,AL,"Choctaw County, AL",44458
01025,AL,"Clarke County, AL",44906
01027,AL,"Clay County, AL",49599
01029,AL,"Cleburne County, AL",49248
01031,AL,"Coffee County, AL",62429
01033,AL,"Colbert County, AL",54593
01035,AL,"Conecuh County, AL",36106
01037,AL,"Coosa County, AL",49485
01039,AL,"Covington County, AL",46958
01041,AL,"Crenshaw County, AL",49161
01043,AL,"Cullman County, AL",61774
01045,AL,"Dale County, AL",50567
01047,AL,"Dallas County, AL",35258
01049,AL,"DeKalb County, AL",50037
01051,AL,"Elmore County, AL",71463
01053,AL,"Escambia County, AL",47792
01055,AL,"Etowah County, AL",55487
01057,AL,"Fayette County, AL",49205
01059,AL,"Franklin County, AL",49611
01061,AL,"Geneva County, AL",51585
01063,AL,"Greene County, AL",35449
01065,AL,"Hale County, AL",44702
01067,AL,"Henry County, AL",56702
01069,AL,"Houston County, AL",56842
01071,AL,"Jackson County, AL",51965
01073,AL,"Jefferson County, AL",61996
01075,AL,"Lamar County, AL",51523
01077,AL,"Lauderdale County, AL",59023
01079,AL,"Lawrence County, AL",55516
01081,AL,"Lee County, AL",59637
01083,AL,"Limestone County, AL",83159
01085,AL,"Lowndes County, AL",42268
01087,AL,"Macon County, AL",36601
01089,AL,"Madison County, AL",80426
01091,AL,"Marengo County, AL",45587
01093,AL,"Marion County, AL",47742
01095,AL,"Marshall County, AL",53388
01097,AL,"Mobile County, AL",54315
01099,AL,"Monroe County, AL",47498
01101,AL,"Montgomery County, AL",56862
01103,AL,"Morgan County, AL",62260
01105,AL,"Perry County, AL",33585
01107,AL,"Pickens County, AL",45440
01109,AL,"Pike County, AL",45144
01111,AL,"Randolph County, AL",49433
01113,AL,"Russell County, AL",45074
01115,AL,"St. Clair County, AL",70361
01117,AL,"Shelby County, AL",98263
01119,AL,"Sumter County, AL",35152
01121,AL,"Talladega County, AL",55186
01123,AL,"Tallapoosa County, AL",55270
01125,AL,"Tuscaloosa County, AL",60875
01127,AL,"Walker County, AL",51065
01129,AL,"Washington County, AL",53785
